里程,替代航线平均价格,替代航线平均运量,替代航线平均里程,价格,运量
143,1038.599976,15,0.0,359.799988,165
1982,2042.30013,1605,2049.0,2311.100098,26
1208,1688.0,533,1207.0,1361.599976,24
692,1371.5,497,795.0,844.900024,18
2332,2074.0,394,2334.0,2095.899902,37
853,1475.1000980000001,45,862.0,1126.900024,146
2156,1930.300049,324,2157.0,1713.5,28
2404,2147.875,379,2408.75,2257.800049,33
1286,1532.200073,256,1297.5,1100.800049,177
990,1373.099976,143,1055.0,984.400024,354
2525,2126.1201170000004,804,2600.600098,1676.400024,11
2301,1998.5333660000001,1087,2381.333252,1784.699951,13
823,1112.099976,23,818.0,677.0,17
1583,1597.366699,657,1566.0,1459.599976,32
1745,1731.550049,830,1891.0,1246.900024,17
1108,1206.049927,194,1114.0,903.7000119999999,48
509,821.833333,453,607.666687,688.599976,905
1742,1383.242885,279,1793.0,1929.4000239999998,15
587,918.0,82,696.0,550.200012,66
1239,1573.139941,296,1290.400024,1317.099976,20
1121,1078.166667,325,1189.333374,1108.900024,18
1196,1240.400024,237,1253.0,1086.300049,42
1049,1377.75,430,1113.5,1136.400024,61
1992,1752.800084,269,2083.428467,997.900024,15
1285,1241.93335,233,1351.0,1069.099976,88
1085,1520.800049,349,1155.5,1536.099976,9
1327,1537.666667,512,1380.333374,1431.099976,21
1201,1252.5,122,1280.0,999.2000119999999,25
1604,1696.180078,483,1676.599976,1445.599976,18
1356,1683.433268,254,1441.0,1442.300049,7
1083,1216.075073,108,1119.75,1014.900024,38
1282,1340.5,385,1347.142822,1014.099976,55
1040,1265.224976,336,1113.0,966.0,64
392,755.700012,79,513.0,522.599976,42
1811,1501.8999720000002,275,1855.714233,1493.400024,54
989,1396.300049,368,1052.5,1125.599976,13
641,1174.550049,74,741.0,1037.099976,27
573,915.2000119999999,105,660.0,756.0,49
293,776.900024,89,475.0,581.299988,36
1720,1111.199951,109,1867.0,1482.599976,23
1677,1684.4624019999999,253,1779.625,1467.400024,26
1211,1392.599976,1435,1389.0,1135.199951,96
644,1049.599976,88,745.0,694.599976,39
852,1268.199951,25,919.0,861.0,6
777,1296.6000980000001,190,871.0,710.099976,49
985,1206.699951,399,1040.0,1144.0,76
1693,1756.7199219999998,248,1773.199951,1720.5,5
727,1271.900024,70,812.0,748.400024,48
1118,1565.200073,139,1227.5,1256.900024,6
1207,1269.5,835,1396.0,1193.400024,54
1276,1743.4000239999998,706,1358.0,1124.400024,4
1418,1197.199951,672,1419.0,1084.599976,26
753,798.200012,607,756.0,410.600006,41
473,820.450012,608,516.5,557.599976,100
258,819.900024,195,455.0,407.299988,34
1427,1423.272816,882,1501.3636470000001,1451.599976,1057
1001,1117.675049,215,1082.5,717.700012,248
1852,1704.2285160000001,311,1916.714233,1692.300049,51
1186,1100.5,361,1274.0,1151.400024,304
1421,1400.549927,361,1497.75,1297.900024,349
1310,1400.950033,453,1358.0,1078.0,122
1022,1260.650024,892,1031.0,550.400024,199
1618,1608.933268,358,1700.3333739999998,1585.400024,55
611,914.900024,72,741.0,606.700012,140
2063,1755.575073,350,2129.625,1809.800049,66
1704,1758.0285989999998,276,1773.285767,1829.4000239999998,31
1500,1567.542829,480,1588.714233,1323.0,349
1148,1267.0249019999999,391,1242.0,1211.099976,195
818,1244.0,412,954.0,1026.5,43
1666,1663.599935,267,1731.1666260000002,1609.599976,75
2565,2641.274902,539,2610.75,2746.0,20
1076,1458.69987,379,1103.0,974.599976,179
1615,1606.466797,415,1676.666626,1506.0,78
1231,1178.939941,263,1310.599976,913.7999880000001,410
1305,1332.575073,356,1352.25,1170.5,18
1219,1411.900024,571,1228.5,553.200012,210
1018,1231.8999019999999,734,1053.5,1084.400024,198
1088,1220.5,355,1215.25,1030.400024,127
1324,1330.300049,531,1407.5,1307.5,96
1305,1245.2000560000001,216,1369.142822,1047.699951,236
3164,2304.438702,328,3240.153809,1925.199951,103
630,646.700012,80,648.0,644.900024,337
1853,1959.4143420000003,336,1933.1428219999998,2052.899902,38
856,923.400024,650,999.0,601.5,84
666,1339.5,366,840.0,1017.2999880000001,12
1184,2256.600098,233,1184.0,1742.4000239999998,6
1177,1717.0999760000002,592,1178.0,1041.199951,114
2078,1721.252673,544,2142.368408,1530.5,631
1507,1305.27998,448,1612.199951,759.099976,336
1008,1095.375,172,1034.5,531.0,439
854,962.5199220000001,312,973.400024,540.599976,515
1207,1236.3999019999999,237,1235.25,881.099976,238
2132,1730.073602,330,2225.842041,1485.199951,39
1992,1714.685686,261,2083.428467,922.7000119999999,18
1276,1559.099976,617,1358.0,1171.099976,5
1022,1230.0,846,1031.0,560.799988,183
2106,1568.19997,278,2169.4614260000003,1322.699951,56
1341,1141.92002,455,1382.0,881.7000119999999,103
1366,1232.742885,601,1454.285767,809.299988,254
2905,2108.856957,338,2971.666748,1690.0999760000002,38
1897,1699.112549,301,1968.875,1500.800049,9
1004,1168.150024,463,1073.25,469.0,355
858,1074.449951,167,969.0,700.599976,224
718,845.75,576,742.5,618.900024,30
728,1002.7999880000001,126,804.0,440.39999400000005,308
511,771.0,105,630.0,491.799988,122
1700,1518.939941,333,1766.4000239999998,1414.699951,47
1414,1147.619922,429,1454.599976,664.599976,148
1418,1325.175049,462,1505.375,1279.300049,155
1507,1313.466553,835,1582.166626,869.400024,632
2446,1899.955729,355,2524.888916,1425.800049,51
1438,1211.757115,483,1539.428589,845.099976,282
1840,1522.833333,285,1982.5,1170.400024,27
682,1091.800049,717,734.0,463.39999400000005,156
1832,1722.2571149999999,413,1918.714233,1622.300049,48
1766,1445.862549,391,1820.0,1068.0,121
2004,1424.959961,351,2081.300049,1433.800049,51
1790,1326.5636539999998,324,1881.1817629999998,865.7000119999999,137
1308,1223.949951,850,1312.5,833.0,75
1110,1105.949951,281,1211.0,533.299988,425
1234,1193.133301,473,1342.666626,1118.0,14
849,1027.8999019999999,566,905.75,686.799988,184
1560,1440.799967,490,1579.0,1261.0,20
1520,1371.099976,430,1623.5,900.7999880000001,23
1260,1587.599976,965,1384.0,1422.0,12
388,1268.633301,83,185.666672,433.0,1942
1770,1518.55451,268,1837.636353,1043.599976,233
627,847.5,68,687.5,513.900024,234
1070,1273.5333660000001,715,1161.333374,1261.599976,45
573,875.5,1174,675.0,838.700012,465
1207,1155.724976,271,1294.75,1250.900024,86
1266,1253.5333660000001,193,1340.666626,937.0,166
1184,1404.47998,301,1273.599976,1211.0,241
787,1121.175049,723,866.5,981.599976,82
258,802.099976,217,455.0,416.200012,36
1618,1544.833333,352,1700.3333739999998,1587.099976,47
2106,1519.1308589999999,279,2169.4614260000003,1257.300049,46
1006,1060.799967,129,1035.666626,1130.199951,31
1262,1193.433268,479,1359.111084,1020.400024,223
923,1347.5,1100,1108.0,1075.900024,205
1202,1311.650024,1055,1269.0,1252.099976,119
506,815.6999509999999,23,495.0,549.400024,41
1245,1173.040039,92,1307.0,889.2000119999999,79
1748,1702.2889539999999,333,1826.777832,1434.199951,121
1491,1597.366699,229,1576.5,1180.0,67
1571,1437.57998,189,1660.599976,1357.599976,30
772,904.6000369999999,21,813.0,946.900024,2
1060,1189.760059,383,1149.599976,825.5,227
1256,1259.6182529999999,848,1359.0,1039.5,422
901,1079.133301,673,956.0,965.7000119999999,108
